viajeros,viajes,provincia_origen,provincia_origen_name,provincia_destino,provincia_destino_name,day,weekday,is_holiday_origen,is_holiday_destino,temp_origen,precip_origen,temp_destino,precip_destino,icon_origen_clear-day,icon_origen_cloudy,icon_origen_partly-cloudy-day,icon_origen_rain,icon_origen_wind,icon_destino_clear-day,icon_destino_cloudy,icon_destino_partly-cloudy-day,icon_destino_rain,icon_destino_wind,is_event_origen,is_event_destino
2181,2584,3,Alicante,8,Barcelona,2022-09-01,4,0,0,26.7,0.0,24.6,0.0,0,0,1,0,0,1,0,0,0,0,0,0
3269,3455,3,Alicante,28,Madrid,2022-09-01,4,0,0,26.7,0.0,24.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
65781,72706,3,Alicante,30,Murcia,2022-09-01,4,0,0,26.7,0.0,28.2,0.0,0,0,1,0,0,0,0,1,0,0,0,0
146,179,3,Alicante,29,Málaga,2022-09-01,4,0,0,26.7,0.0,26.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
129,137,3,Alicante,41,Sevilla,2022-09-01,4,0,0,26.7,0.0,24.3,0.0,0,0,1,0,0,0,0,1,0,0,0,0
57783,60753,3,Alicante,46,Valencia/Valéncia,2022-09-01,4,0,0,26.7,0.0,26.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
2129,2489,8,Barcelona,3,Alicante,2022-09-01,4,0,0,24.6,0.0,26.7,0.0,1,0,0,0,0,0,0,1,0,0,0,0
8933,9607,8,Barcelona,28,Madrid,2022-09-01,4,0,0,24.6,0.0,24.5,0.0,1,0,0,0,0,0,0,1,0,0,0,0
1128,1339,8,Barcelona,30,Murcia,2022-09-01,4,0,0,24.6,0.0,28.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0
1141,1313,8,Barcelona,29,Málaga,2022-09-01,4,0,0,24.6,0.0,26.6,0.0,1,0,0,0,0,0,0,1,0,0,0,0
1349,1446,8,Barcelona,41,Sevilla,2022-09-01,4,0,0,24.6,0.0,24.3,0.0,1,0,0,0,0,0,0,1,0,0,0,0
3463,3643,8,Barcelona,46,Valencia/Valéncia,2022-09-01,4,0,0,24.6,0.0,26.4,0.0,1,0,0,0,0,0,0,1,0,0,0,0
3591,3775,28,Madrid,3,Alicante,2022-09-01,4,0,0,24.5,0.0,26.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
9220,10016,28,Madrid,8,Barcelona,2022-09-01,4,0,0,24.5,0.0,24.6,0.0,0,0,1,0,0,1,0,0,0,0,0,0
813,919,28,Madrid,30,Murcia,2022-09-01,4,0,0,24.5,0.0,28.2,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3984,4235,28,Madrid,29,Málaga,2022-09-01,4,0,0,24.5,0.0,26.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
4264,4586,28,Madrid,41,Sevilla,2022-09-01,4,0,0,24.5,0.0,24.3,0.0,0,0,1,0,0,0,0,1,0,0,0,0
5180,5583,28,Madrid,46,Valencia/Valéncia,2022-09-01,4,0,0,24.5,0.0,26.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
69850,76665,30,Murcia,3,Alicante,2022-09-01,4,0,0,28.2,0.0,26.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
1187,1388,30,Murcia,8,Barcelona,2022-09-01,4,0,0,28.2,0.0,24.6,0.0,0,0,1,0,0,1,0,0,0,0,0,0
